Serial Number,Kind,Type,Name of Variety/ Hybrid,Recommended State Union territories for sale
112,Indian Mustard,Open Pollinated Variety,Pusa Bold- (Pusa Bold- WRR2),"Punjab, Haryana, Delhi, Northern Rajasthan and Uttar Pradesh"
113,Indian Mustard,Open Pollinated Variety,Rohini- (Rohini-WRR2),"Punjab, Haryana, Delhi, Northern Rajasthan and Uttar Pradesh"
114,Indian Mustard,Open Pollinated Variety,Varuna- (Varuna-WRR2),"Punjab, Haryana, Delhi, Northern Rajasthan and Uttar Pradesh"
115,Indian Mustard,Open Pollinated Variety,RH 1424,"Jammu, Punjab, Haryana, Delhi and northern Rajasthan"
116,Indian Mustard,Open Pollinated Variety,RH 1706 (RH (0E) 1706),"Jammu, Punjab, Haryana, Delhi and northern Rajasthan"
117,Indian Mustard,Open Pollinated Variety,Pusa Mustard 34 (LES 60),"Rajasthan (Northern and Western parts), Punjab, Haryana, Delhi, Western Uttar Pradesh Plains of Jammu and Kashmir and Himachal Pradesh"
118,Indian Mustard,Open Pollinated Variety,CS 13000-3-2-2-5-2 (CS 61),Uttar Pradesh
119,Indian Mustard,Open Pollinated Variety,CS 15000-1-1-1-4-2 (CS 62),Uttar Pradesh
120,Gobhisarson,Open Pollinated Variety,Shalimar Gobhi Sarson-1 (KGS-32),Jammu and Kashmir
121,Groundnut,Open Pollinated Variety,GG 40 (Gujarat Groundnut 40) (ICGV 16668),"Rajasthan, Gujarat, Andhra Pradesh, Karnataka, Tamil Nadu and Telangana"
122,Groundnut,Open Pollinated Variety,Raj Mungfali 4 (RG 638),"Rajasthan, Uttar Pradesh, Punjab and Haryana"
123,Groundnut,Open Pollinated Variety,Visishta (TCGS 1694),Andhra Pradesh
124,Groundnut,Open Pollinated Variety,Gujarat Groundnut 37 (Sorath Gaurav) GG 37,Gujarat
125,Groundnut,Open Pollinated Variety,Gujarat Groundnut 38 (Sorath Navin),Gujarat
126,Groundnut,Open Pollinated Variety,Improved JL 24 (DBG 3),Karnataka
127,Groundnut,Open Pollinated Variety,Super TMV 2 (DBG 4),Karnataka
128,Groundnut,Open Pollinated Variety,Kadiri Lepakshi (K 1812),Maharashtra
129,Sesame,Open Pollinated Variety,Phule Purna (JLT-408-2) (JLS-408-2 (Summer),Maharashtra
130,Sesame,Open Pollinated Variety,Jagtiala Til-1 (JCS 1020),Telangana
131,Sunflower,Hybrid,RSFH-700,Karnataka
132,Safflower,Open Pollinated Variety,Parbhani Suvarna (PBNS- 154),Maharashtra
133,Safflower,Open Pollinated Variety,Rajvijay Safflower 18-3 (RVSAFF18-3),Madhya Pradesh
134,Safflower,Hybrid,ISH-402,"Telangana, Andhra Pradesh, Maharashtra, Karnataka, Chhattisgarh and Madhya Pradesh"
135,Linseed,Open Pollinated,VarshaAlsi 2 (RLC-171),"Himachal Pradesh, Jammu and Kashmir, Punjab, Jharkhand, Uttar"
,,Variety,,"Pradesh, Assam, Bihar and Nagaland"
136,Linseed,Open Pollinated Variety,Birsa Tisi-2 (BAU-14-09),Jharkhand
137,Linseed,Open Pollinated Variety,DLV-6 (Prabhakanth),Karnataka
138,Niger,Open Pollinated Variety,GNNIG-4 (Kasturi) NMBP-1907,Gujarat
139,Pigeonpea,Open Pollinated Variety,Phule Kaveri (Phule Tur- 11-4),"Tamil Nadu, Karnataka, Andhra Pradesh, Telangana and Odisha"
140,Pigeonpea,Open Pollinated Variety,Phule Trupti (Phule Tur-10- 1),"Maharashtra, Gujarat, Madhya Pradesh and Chhattisgarh"
141,Pigeonpea,Open Pollinated Variety,Renuka (BDN 2013-2),"Maharashtra, Gujarat, Madhya Pradesh, Rajasthan and Chhattisgarh"
142,Pigeonpea,Open Pollinated Variety,PDKV Ashlesha (AKTM 1637),"Maharashtra, Madhya Pradesh, Gujarat and Chhattisgarh"
143,Pigeonpea,Open Pollinated Variety,Gujarat Tur 107 (GT 107: Banas Abhay) (SKNP 1608),Gujarat
144,Pigeonpea,Open Pollinated Variety,Gujarat Tur 108 (GT 108: Banas Ujjwal) (SKNP 1614),Gujarat
145,Chickpea,Open Pollinated Variety,L 558 (GLK 17301),"Punjab, Haryana, North Rajasthan and plains of Uttarakhand"
146,Chickpea,Open Pollinated Variety,Pusa JG 16 (BGM 10221 (DTIL),"Madhya Pradesh, Maharashtra, Gujarat, Chhattisgarh, Southern Rajasthan, and Bundelkhand region of Uttar Pradesh"
147,Chickpea,Open Pollinated Variety,Nandyal Gram 776 (NBeG 776),Andhra Pradesh
148,Chickpea,Open Pollinated Variety,Kanchan (IPCK 2009-145),Uttar Pradesh
149,Chickpea,Open Pollinated Variety,Kuber (IPC 2010-142) (Desi Chickpea),Uttar Pradesh
150,Chickpea,Open Pollinated Variety,Shalimar Chickpea-2 (SKUA-WCKP- 101/RVSSG68),Jammu and Kashmir
